product,price,quantity,date,region
pink morsel,$3.00,546,2018-02-06,north
pink morsel,$3.00,549,2018-02-06,south
pink morsel,$3.00,577,2018-02-06,east
pink morsel,$3.00,519,2018-02-06,west
gold morsel,$9.99,580,2018-02-06,north
gold morsel,$9.99,530,2018-02-06,south
gold morsel,$9.99,576,2018-02-06,east
gold morsel,$9.99,580,2018-02-06,west
magenta morsel,$2.50,522,2018-02-06,north
magenta morsel,$2.50,560,2018-02-06,south
magenta morsel,$2.50,583,2018-02-06,east
magenta morsel,$2.50,552,2018-02-06,west
chartreuse morsel,$3.00,543,2018-02-06,north
chartreuse morsel,$3.00,574,2018-02-06,south
chartreuse morsel,$3.00,577,2018-02-06,east
chartreuse morsel,$3.00,503,2018-02-06,west
periwinkle morsel,$1.25,530,2018-02-06,north
periwinkle morsel,$1.25,546,2018-02-06,south
periwinkle morsel,$1.25,506,2018-02-06,east
periwinkle morsel,$1.25,559,2018-02-06,west
vermilion morsel,$4.99,533,2018-02-06,north
vermilion morsel,$4.99,568,2018-02-06,south
vermilion morsel,$4.99,556,2018-02-06,east
vermilion morsel,$4.99,573,2018-02-06,west
lapis morsel,$1.99,544,2018-02-06,north
lapis morsel,$1.99,577,2018-02-06,south
lapis morsel,$1.99,532,2018-02-06,east
lapis morsel,$1.99,585,2018-02-06,west
pink morsel,$3.00,529,2018-02-07,north
pink morsel,$3.00,566,2018-02-07,south
pink morsel,$3.00,514,2018-02-07,east
pink morsel,$3.00,545,2018-02-07,west
gold morsel,$9.99,506,2018-02-07,north
gold morsel,$9.99,512,2018-02-07,south
gold morsel,$9.99,524,2018-02-07,east
gold morsel,$9.99,559,2018-02-07,west
magenta morsel,$2.50,594,2018-02-07,north
magenta morsel,$2.50,596,2018-02-07,south
magenta morsel,$2.50,537,2018-02-07,east
magenta morsel,$2.50,524,2018-02-07,west
chartreuse morsel,$3.00,533,2018-02-07,north
chartreuse morsel,$3.00,547,2018-02-07,south
chartreuse morsel,$3.00,501,2018-02-07,east
chartreuse morsel,$3.00,548,2018-02-07,west
periwinkle morsel,$1.25,573,2018-02-07,north
periwinkle morsel,$1.25,545,2018-02-07,south
periwinkle morsel,$1.25,578,2018-02-07,east
periwinkle morsel,$1.25,504,2018-02-07,west
vermilion morsel,$4.99,561,2018-02-07,north
vermilion morsel,$4.99,581,2018-02-07,south
vermilion morsel,$4.99,550,2018-02-07,east
vermilion morsel,$4.99,506,2018-02-07,west
lapis morsel,$1.99,518,2018-02-07,north
lapis morsel,$1.99,537,2018-02-07,south
lapis morsel,$1.99,558,2018-02-07,east
lapis morsel,$1.99,536,2018-02-07,west
pink morsel,$3.00,534,2018-02-08,north
pink morsel,$3.00,512,2018-02-08,south
pink morsel,$3.00,501,2018-02-08,east
pink morsel,$3.00,567,2018-02-08,west
gold morsel,$9.99,590,2018-02-08,north
gold morsel,$9.99,501,2018-02-08,south
gold morsel,$9.99,515,2018-02-08,east
gold morsel,$9.99,514,2018-02-08,west
magenta morsel,$2.50,559,2018-02-08,north
magenta morsel,$2.50,550,2018-02-08,south
magenta morsel,$2.50,557,2018-02-08,east
magenta morsel,$2.50,514,2018-02-08,west
chartreuse morsel,$3.00,600,2018-02-08,north
chartreuse morsel,$3.00,542,2018-02-08,south
chartreuse morsel,$3.00,535,2018-02-08,east
chartreuse morsel,$3.00,510,2018-02-08,west
periwinkle morsel,$1.25,504,2018-02-08,north
periwinkle morsel,$1.25,529,2018-02-08,south
periwinkle morsel,$1.25,579,2018-02-08,east
periwinkle morsel,$1.25,511,2018-02-08,west
vermilion morsel,$4.99,500,2018-02-08,north
vermilion morsel,$4.99,520,2018-02-08,south
vermilion morsel,$4.99,537,2018-02-08,east
vermilion morsel,$4.99,600,2018-02-08,west
lapis morsel,$1.99,565,2018-02-08,north
lapis morsel,$1.99,501,2018-02-08,south
lapis morsel,$1.99,533,2018-02-08,east
lapis morsel,$1.99,500,2018-02-08,west
pink morsel,$3.00,586,2018-02-09,north
pink morsel,$3.00,554,2018-02-09,south
pink morsel,$3.00,594,2018-02-09,east
pink morsel,$3.00,505,2018-02-09,west
gold morsel,$9.99,597,2018-02-09,north
gold morsel,$9.99,584,2018-02-09,south
gold morsel,$9.99,553,2018-02-09,east
gold morsel,$9.99,584,2018-02-09,west
magenta morsel,$2.50,594,2018-02-09,north
magenta morsel,$2.50,568,2018-02-09,south
magenta morsel,$2.50,556,2018-02-09,east
magenta morsel,$2.50,579,2018-02-09,west
chartreuse morsel,$3.00,588,2018-02-09,north
chartreuse morsel,$3.00,540,2018-02-09,south
chartreuse morsel,$3.00,543,2018-02-09,east
chartreuse morsel,$3.00,558,2018-02-09,west
periwinkle morsel,$1.25,578,2018-02-09,north
periwinkle morsel,$1.25,518,2018-02-09,south
periwinkle morsel,$1.25,591,2018-02-09,east
periwinkle morsel,$1.25,525,2018-02-09,west
vermilion morsel,$4.99,565,2018-02-09,north
vermilion morsel,$4.99,600,2018-02-09,south
vermilion morsel,$4.99,574,2018-02-09,east
vermilion morsel,$4.99,511,2018-02-09,west
lapis morsel,$1.99,512,2018-02-09,north
lapis morsel,$1.99,540,2018-02-09,south
lapis morsel,$1.99,575,2018-02-09,east
lapis morsel,$1.99,518,2018-02-09,west
pink morsel,$3.00,554,2018-02-10,north
pink morsel,$3.00,519,2018-02-10,south
pink morsel,$3.00,550,2018-02-10,east
pink morsel,$3.00,558,2018-02-10,west
gold morsel,$9.99,509,2018-02-10,north
gold morsel,$9.99,548,2018-02-10,south
gold morsel,$9.99,517,2018-02-10,east
gold morsel,$9.99,523,2018-02-10,west
magenta morsel,$2.50,600,2018-02-10,north
magenta morsel,$2.50,562,2018-02-10,south
magenta morsel,$2.50,576,2018-02-10,east
magenta morsel,$2.50,511,2018-02-10,west
chartreuse morsel,$3.00,591,2018-02-10,north
chartreuse morsel,$3.00,569,2018-02-10,south
chartreuse morsel,$3.00,577,2018-02-10,east
chartreuse morsel,$3.00,545,2018-02-10,west
periwinkle morsel,$1.25,546,2018-02-10,north
periwinkle morsel,$1.25,550,2018-02-10,south
periwinkle morsel,$1.25,519,2018-02-10,east
periwinkle morsel,$1.25,586,2018-02-10,west
vermilion morsel,$4.99,537,2018-02-10,north
vermilion morsel,$4.99,571,2018-02-10,south
vermilion morsel,$4.99,546,2018-02-10,east
vermilion morsel,$4.99,549,2018-02-10,west
lapis morsel,$1.99,599,2018-02-10,north
lapis morsel,$1.99,570,2018-02-10,south
lapis morsel,$1.99,557,2018-02-10,east
lapis morsel,$1.99,580,2018-02-10,west
pink morsel,$3.00,518,2018-02-11,north
pink morsel,$3.00,529,2018-02-11,south
pink morsel,$3.00,521,2018-02-11,east
pink morsel,$3.00,588,2018-02-11,west
gold morsel,$9.99,518,2018-02-11,north
gold morsel,$9.99,578,2018-02-11,south
gold morsel,$9.99,534,2018-02-11,east
gold morsel,$9.99,508,2018-02-11,west
magenta morsel,$2.50,579,2018-02-11,north
magenta morsel,$2.50,516,2018-02-11,south
magenta morsel,$2.50,543,2018-02-11,east
magenta morsel,$2.50,500,2018-02-11,west
chartreuse morsel,$3.00,589,2018-02-11,north
chartreuse morsel,$3.00,511,2018-02-11,south
chartreuse morsel,$3.00,550,2018-02-11,east
chartreuse morsel,$3.00,515,2018-02-11,west
periwinkle morsel,$1.25,572,2018-02-11,north
periwinkle morsel,$1.25,503,2018-02-11,south
periwinkle morsel,$1.25,545,2018-02-11,east
periwinkle morsel,$1.25,540,2018-02-11,west
vermilion morsel,$4.99,521,2018-02-11,north
vermilion morsel,$4.99,503,2018-02-11,south
vermilion morsel,$4.99,558,2018-02-11,east
vermilion morsel,$4.99,548,2018-02-11,west
lapis morsel,$1.99,501,2018-02-11,north
lapis morsel,$1.99,567,2018-02-11,south
lapis morsel,$1.99,543,2018-02-11,east
lapis morsel,$1.99,579,2018-02-11,west
pink morsel,$3.00,586,2018-02-12,north
pink morsel,$3.00,536,2018-02-12,south
pink morsel,$3.00,523,2018-02-12,east
pink morsel,$3.00,551,2018-02-12,west
gold morsel,$9.99,534,2018-02-12,north
gold morsel,$9.99,543,2018-02-12,south
gold morsel,$9.99,511,2018-02-12,east
gold morsel,$9.99,515,2018-02-12,west
magenta morsel,$2.50,500,2018-02-12,north
magenta morsel,$2.50,532,2018-02-12,south
magenta morsel,$2.50,517,2018-02-12,east
magenta morsel,$2.50,530,2018-02-12,west
chartreuse morsel,$3.00,541,2018-02-12,north
chartreuse morsel,$3.00,521,2018-02-12,south
chartreuse morsel,$3.00,531,2018-02-12,east
chartreuse morsel,$3.00,509,2018-02-12,west
periwinkle morsel,$1.25,522,2018-02-12,north
periwinkle morsel,$1.25,502,2018-02-12,south
periwinkle morsel,$1.25,522,2018-02-12,east
periwinkle morsel,$1.25,579,2018-02-12,west
vermilion morsel,$4.99,509,2018-02-12,north
vermilion morsel,$4.99,594,2018-02-12,south
vermilion morsel,$4.99,580,2018-02-12,east
vermilion morsel,$4.99,523,2018-02-12,west
lapis morsel,$1.99,578,2018-02-12,north
lapis morsel,$1.99,573,2018-02-12,south
lapis morsel,$1.99,523,2018-02-12,east
lapis morsel,$1.99,507,2018-02-12,west
pink morsel,$3.00,524,2018-02-13,north
pink morsel,$3.00,572,2018-02-13,south
pink morsel,$3.00,591,2018-02-13,east
pink morsel,$3.00,575,2018-02-13,west
gold morsel,$9.99,521,2018-02-13,north
gold morsel,$9.99,584,2018-02-13,south
gold morsel,$9.99,516,2018-02-13,east
gold morsel,$9.99,517,2018-02-13,west
magenta morsel,$2.50,547,2018-02-13,north
magenta morsel,$2.50,597,2018-02-13,south
magenta morsel,$2.50,599,2018-02-13,east
magenta morsel,$2.50,585,2018-02-13,west
chartreuse morsel,$3.00,578,2018-02-13,north
chartreuse morsel,$3.00,572,2018-02-13,south
chartreuse morsel,$3.00,590,2018-02-13,east
chartreuse morsel,$3.00,512,2018-02-13,west
periwinkle morsel,$1.25,515,2018-02-13,north
periwinkle morsel,$1.25,504,2018-02-13,south
periwinkle morsel,$1.25,538,2018-02-13,east
periwinkle morsel,$1.25,515,2018-02-13,west
vermilion morsel,$4.99,585,2018-02-13,north
vermilion morsel,$4.99,571,2018-02-13,south
vermilion morsel,$4.99,538,2018-02-13,east
vermilion morsel,$4.99,500,2018-02-13,west
lapis morsel,$1.99,501,2018-02-13,north
lapis morsel,$1.99,541,2018-02-13,south
lapis morsel,$1.99,564,2018-02-13,east
lapis morsel,$1.99,501,2018-02-13,west
pink morsel,$3.00,589,2018-02-14,north
pink morsel,$3.00,570,2018-02-14,south
pink morsel,$3.00,566,2018-02-14,east
pink morsel,$3.00,504,2018-02-14,west
gold morsel,$9.99,508,2018-02-14,north
gold morsel,$9.99,576,2018-02-14,south
gold morsel,$9.99,536,2018-02-14,east
gold morsel,$9.99,546,2018-02-14,west
magenta morsel,$2.50,594,2018-02-14,north
magenta morsel,$2.50,542,2018-02-14,south
magenta morsel,$2.50,507,2018-02-14,east
magenta morsel,$2.50,516,2018-02-14,west
chartreuse morsel,$3.00,527,2018-02-14,north
chartreuse morsel,$3.00,566,2018-02-14,south
chartreuse morsel,$3.00,598,2018-02-14,east
chartreuse morsel,$3.00,524,2018-02-14,west
periwinkle morsel,$1.25,595,2018-02-14,north
periwinkle morsel,$1.25,600,2018-02-14,south
periwinkle morsel,$1.25,558,2018-02-14,east
periwinkle morsel,$1.25,527,2018-02-14,west
vermilion morsel,$4.99,525,2018-02-14,north
vermilion morsel,$4.99,532,2018-02-14,south
vermilion morsel,$4.99,547,2018-02-14,east
vermilion morsel,$4.99,512,2018-02-14,west
lapis morsel,$1.99,531,2018-02-14,north
lapis morsel,$1.99,545,2018-02-14,south
lapis morsel,$1.99,596,2018-02-14,east
lapis morsel,$1.99,517,2018-02-14,west
pink morsel,$3.00,582,2018-02-15,north
pink morsel,$3.00,578,2018-02-15,south
pink morsel,$3.00,508,2018-02-15,east
pink morsel,$3.00,538,2018-02-15,west
gold morsel,$9.99,535,2018-02-15,north
gold morsel,$9.99,508,2018-02-15,south
gold morsel,$9.99,577,2018-02-15,east
gold morsel,$9.99,511,2018-02-15,west
magenta morsel,$2.50,523,2018-02-15,north
magenta morsel,$2.50,530,2018-02-15,south
magenta morsel,$2.50,582,2018-02-15,east
magenta morsel,$2.50,562,2018-02-15,west
chartreuse morsel,$3.00,535,2018-02-15,north
chartreuse morsel,$3.00,533,2018-02-15,south
chartreuse morsel,$3.00,588,2018-02-15,east
chartreuse morsel,$3.00,508,2018-02-15,west
periwinkle morsel,$1.25,511,2018-02-15,north
periwinkle morsel,$1.25,541,2018-02-15,south
periwinkle morsel,$1.25,529,2018-02-15,east
periwinkle morsel,$1.25,570,2018-02-15,west
vermilion morsel,$4.99,518,2018-02-15,north
vermilion morsel,$4.99,533,2018-02-15,south
vermilion morsel,$4.99,533,2018-02-15,east
vermilion morsel,$4.99,553,2018-02-15,west
lapis morsel,$1.99,526,2018-02-15,north
lapis morsel,$1.99,555,2018-02-15,south
lapis morsel,$1.99,552,2018-02-15,east
lapis morsel,$1.99,553,2018-02-15,west
pink morsel,$3.00,526,2018-02-16,north
pink morsel,$3.00,594,2018-02-16,south
pink morsel,$3.00,509,2018-02-16,east
pink morsel,$3.00,584,2018-02-16,west
gold morsel,$9.99,506,2018-02-16,north
gold morsel,$9.99,591,2018-02-16,south
gold morsel,$9.99,503,2018-02-16,east
gold morsel,$9.99,519,2018-02-16,west
magenta morsel,$2.50,548,2018-02-16,north
magenta morsel,$2.50,578,2018-02-16,south
magenta morsel,$2.50,518,2018-02-16,east
